feature,importance
neighborhood_Bab Ghmat,8.081465367158722e-10
neighborhood_Hay Massira,8.020556365380205e-10
neighborhood_De La Plage,7.97778187328488e-10
neighborhood_Route d'Amezmiz,7.70692563167856e-10
neighborhood_Al Qods,7.611105827104261e-10
neighborhood_Haut-Founty,7.558610149125072e-10
city_Fnideq,7.398537303126718e-10
neighborhood_Hôrloge,6.963660636765752e-10
city_Zenata,6.947836517655355e-10
city_Skhirat,6.941187852746467e-10
neighborhood_Guich Oudaya,6.58710712999515e-10
neighborhood_Roches Noires,6.281558211600407e-10
neighborhood_Nassim,6.266363075520774e-10
neighborhood_Plage Oued Cherrat,5.996078940418505e-10
city_Larache,5.917523814951995e-10
neighborhood_Route Ain Chkaf,5.81567932921072e-10
city_El Mansouria,5.746201907474637e-10
neighborhood_Hay Inbiat,5.484693325755345e-10
neighborhood_C.I.L,5.437462528832841e-10
neighborhood_Route de Safi,5.224456633057755e-10
city_Béni Mellal,5.095942888622635e-10
neighborhood_Sidi Belyout,4.767129705545723e-10
neighborhood_Route d'Azemmour,4.5771479726334475e-10
neighborhood_M'Hamid,4.5710975716934064e-10
neighborhood_Val d'or,4.554720066787371e-10
neighborhood_Annakhil,4.0518134442463094e-10
neighborhood_Majorelle,3.867399634612088e-10
neighborhood_Al Mandar Al Jamil,3.7867076685022006e-10
neighborhood_Abdelmoumen,3.772957908853174e-10
neighborhood_Said Hajji,3.607553377497685e-10
neighborhood_Haut Anza,3.5106273277619276e-10
neighborhood_Ain Mezouar,3.500974918610612e-10
neighborhood_Marjane 2,3.4878011385204506e-10
neighborhood_Bachkou,3.3672206543757223e-10
city_Berrechid,3.3349490243531574e-10
neighborhood_Victor Hugo,3.3182034638148994e-10
neighborhood_Kébibat,3.2613965419824515e-10
neighborhood_Mabrouka,3.052670609845993e-10
city_El Menzeh,2.9505379376495165e-10
neighborhood_Seyad,2.891931879116321e-10
neighborhood_Hay Qods,2.6275268505275646e-10
neighborhood_Quartier du Parc,2.5423744918438855e-10
neighborhood_Oued Eddahab,2.514767160284061e-10
neighborhood_Ouled Oujih,2.4470263743752574e-10
neighborhood_Bir Rami,2.33832076602565e-10
neighborhood_La Ville Haute,2.2195325895042727e-10
neighborhood_Franceville,2.1766683996902247e-10
neighborhood_Bouskoura centre,2.1630992730685476e-10
city_Nouaceur,2.1299824561949743e-10
city_Cap de l'eau,2.1224235988634052e-10
neighborhood_Mesnana,1.8352399863263016e-10
neighborhood_Ahlane,1.8055593658065595e-10
neighborhood_Moujahidine,1.7936736471275716e-10
neighborhood_Riad Oulad Mtaa,1.7728458135152489e-10
neighborhood_Administratif,1.7586779340671276e-10
neighborhood_Val Fleury,1.7000879965538784e-10
neighborhood_Ben Souda,1.694610653076984e-10
city_Mehdia,1.6228099344808542e-10
city_Settat,1.5997249677850011e-10
neighborhood_La Colline,1.537320363294675e-10
neighborhood_Aïn Diab,1.4974157087287697e-10
