price,log_price
1026000,13.841179279371246
1300000,14.077875591662238
1470000,14.200773639026796
1600000,14.285514812209815
1500000,14.220976332738882
830000,13.629182184591333
900000,13.710151153416941
750000,13.527829818844937
890000,13.698977865303197
3000000,14.914123179965662
430000,12.971542813248437
1200000,13.997832948091215
900000,13.710151153416941
850000,13.652992804936396
350000,12.765691290604371
1700000,14.346139397261565
275000,12.524530013005734
1500000,14.220976332738882
350000,12.765691290604371
3100000,14.946912992035967
220000,12.301387370778713
950000,13.76421831620775
3300000,15.009433329466965
600000,13.304686600863562
700000,13.45883704259595
1200000,13.997832948091215
500000,13.122365377402328
670000,13.415034483903348
1500000,14.220976332738882
750000,13.527829818844937
950000,13.76421831620775
2200000,14.603968372873895
960000,13.774689605110144
2650000,14.790070575320824
1385000,14.141211419624977
820000,13.617060838751888
630000,13.353476685668044
1640000,14.310207409556293
1960000,14.488455541410652
540000,13.199326270390594
1500000,14.220976332738882
960000,13.774689605110144
612000,13.324489195480057
180000,12.100717685412471
1300000,14.077875591662238
870000,13.676249640055394
430000,12.971542813248437
1200000,13.997832948091215
1800000,14.403297778421795
1650000,14.316286451937186
8000000,15.894952224644102
620000,13.3374763699232
4500000,15.319588176962746
1936000,14.476135063347451
1280000,14.062371417145494
800000,13.592368256649284
860000,13.664688831019712
540000,13.199326270390594
1900000,14.45736497045232
1050000,13.864301674514206
1378000,14.136144456244882
1600000,14.285514812209815
1490000,14.214287349062356
900000,13.710151153416941
750000,13.527829818844937
3480000,15.062543139106937
360000,12.793862088206213
5280000,15.479436845076366
540000,13.199326270390594
420000,12.948012371209098
3200000,14.978661680269907
690000,13.444448325847754
1150000,13.955273369904273
2150000,14.580978865220017
395000,12.886643575525625
870000,13.676249640055394
662451235,20.311457507077858
510000,13.1421679654829
2300000,14.648420115681892
650000,13.384729180332174
530000,13.180634172318978
1180000,13.981025843899115
3800000,15.150511887854474
620000,13.3374763699232
1850000,14.430696737594902
390000,12.873904582205107
880000,13.68767832281738
150000,11.918397239722838
1160000,13.963931425151141
1030000,13.845070331079134
1800000,14.403297778421795
2800000,14.845130332288226
960000,13.774689605110144
1430000,14.173185701536545
2300000,14.648420115681892
1860000,14.436087583323648
2340000,14.66566191468422
1700000,14.346139397261565
600000,13.304686600863562
660000,13.399996629152975
1500000,14.220976332738882
950000,13.76421831620775
430000,12.971542813248437
490000,13.102162710901053
550000,13.217675375388819
1230000,14.0225255403564
1100000,13.910821646859095
380000,12.847929163278053
530000,13.180634172318978
2550000,14.751604309291395
1060000,13.87378040948403
1600000,14.285514812209815
490000,13.102162710901053
3230000,14.987993004796314
555000,13.22672519452875
630000,13.353476685668044
1100000,13.910821646859095
850000,13.652992804936396
1200000,13.997832948091215
1250000,14.038654909278163
700000,13.45883704259595
1300000,14.077875591662238
270000,12.506180941677357
2670000,14.797589404908198
410000,12.923914877701906
1834700,14.422392083414898
800000,13.592368256649284
370000,12.821260987319457
2200000,14.603968372873895
1325000,14.096923772119156
1300000,14.077875591662238
2800000,14.845130332288226
500000,13.122365377402328
280000,12.54254845357358
4000000,15.201805169084134
420000,12.948012371209098
720000,13.487007879880162
600000,13.304686600863562
520000,13.161586013632684
1600000,14.285514812209815
176000000,18.985994558684244
3700000,15.123843647884687
1800000,14.403297778421795
850000,13.652992804936396
460000,13.038983942375959
3400000,15.039286283703994
550000,13.217675375388819
1350000,14.115615891155079
140000,11.849404844423074
1000000,13.815511557963774
1180000,13.981025843899115
790000,13.579789490265188
480000,13.081543466215237
1060000,13.87378040948403
820000,13.617060838751888
610000,13.321215875492413
980000,13.795308871054397
560000,13.235693848424024
2300000,14.648420115681892
1000000,13.815511557963774
930000,13.742940940397677
680000,13.429849547739444
2450000,14.711598990684092
1050000,13.864301674514206
300000,12.611541086966115
1620000,14.297937324492327
450000,13.017005083966255
820000,13.617060838751888
3900000,15.176487367510099
700000,13.45883704259595
420000,12.948012371209098
565000,13.244582780038517
900000,13.710151153416941
465000,13.049794835104816
520000,13.161586013632684
300000,12.611541086966115
1060000,13.87378040948403
1300000,14.077875591662238
1420000,14.166168133802547
450000,13.017005083966255
1040000,13.854732232655556
790000,13.579789490265188
570000,13.25339339419516
2300000,14.648420115681892
300000,12.611541086966115
724000,13.49254805258237
1180000,13.981025843899115
560000,13.235693848424024
555000,13.22672519452875
320000,12.676079399771027
1500000,14.220976332738882
1950000,14.48334044336031
530000,13.180634172318978
1430000,14.173185701536545
2600000,14.77102238760702
480000,13.081543466215237
530000,13.180634172318978
1670000,14.328334783195153
2500000,14.731801689838349
450000,13.017005083966255
1050000,13.864301674514206
250000,12.429220196836383
900000,13.710151153416941
1295900,14.074716764087688
950000,13.76421831620775
600000,13.304686600863562
360000,12.793862088206213
820000,13.617060838751888
1080000,13.8924725250259
620000,13.3374763699232
1550000,14.253766134056512
1600000,14.285514812209815
1520000,14.23422155071698
280000,12.54254845357358
580000,13.270785106659046
1350000,14.115615891155079
400000,12.899222326086994
999000,13.81451105863119
1500000,14.220976332738882
360000,12.793862088206213
660000,13.399996629152975
840000,13.641158361294979
465000,13.049794835104816
2500000,14.731801689838349
560000,13.235693848424024
858000,13.662360543970586
690000,13.444448325847754
1350000,14.115615891155079
1110000,13.919871474189012
530000,13.180634172318978
300000,12.611541086966115
1600000,14.285514812209815
2800000,14.845130332288226
430000,12.971542813248437
1250000,14.038654909278163
360000,12.793862088206213
600000,13.304686600863562
640000,13.369225017834633
700000,13.45883704259595
2600000,14.77102238760702
1280000,14.062371417145494
450000,13.017005083966255
1690000,14.340239678615058
1700000,14.346139397261565
2500000,14.731801689838349
590000,13.28787951079572
735000,13.507627138738266
700000,13.45883704259595
754000,13.53314897324916
2600000,14.77102238760702
900000,13.710151153416941
1500000,14.220976332738882
1200000,13.997832948091215
540000,13.199326270390594
600000,13.304686600863562
800000,13.592368256649284
450000,13.017005083966255
920000,13.732130035981154
890000,13.698977865303197
570000,13.25339339419516
450000,13.017005083966255
720000,13.487007879880162
540000,13.199326270390594
520000,13.161586013632684
4999000,15.424748650435696
940000,13.753636218075409
950000,13.76421831620775
2255000,14.628660974377798
850000,13.652992804936396
2500000,14.731801689838349
440000,12.994532278619134
1700000,14.346139397261565
560000,13.235693848424024
460000,13.038983942375959
1949000,14.482827491573198
690000,13.444448325847754
890000,13.698977865303197
1750000,14.375126917328105
920000,13.732130035981154
540000,13.199326270390594
950000,13.76421831620775
850000,13.652992804936396
1350000,14.115615891155079
380000,12.847929163278053
1378000,14.136144456244882
3300000,15.009433329466965
700000,13.45883704259595
850000,13.652992804936396
700000,13.45883704259595
780000,13.567050480716235
1100000,13.910821646859095
300000,12.611541086966115
350000,12.765691290604371
1140000,13.946539697563276
850000,13.652992804936396
800000,13.592368256649284
1060000,13.87378040948403
3500000,15.068273812173887
395000,12.886643575525625
1450000,14.187074804051692
570000,13.25339339419516
480000,13.081543466215237
480000,13.081543466215237
1760000,14.38082493519599
1300000,14.077875591662238
800000,13.592368256649284
1550000,14.253766134056512
1800000,14.403297778421795
680000,13.429849547739444
580000,13.270785106659046
530000,13.180634172318978
720000,13.487007879880162
380000,12.847929163278053
800000,13.592368256649284
370000,12.821260987319457
490000,13.102162710901053
280000,12.54254845357358
260000,12.468440756144114
1200000,13.997832948091215
760000,13.541075028051122
360000,12.793862088206213
2700000,14.80876270134486
395000,12.886643575525625
600000,13.304686600863562
780000,13.567050480716235
600000,13.304686600863562
520000,13.161586013632684
600000,13.304686600863562
860000,13.664688831019712
1260000,14.04662307257814
570000,13.25339339419516
2150000,14.580978865220017
680000,13.429849547739444
640000,13.369225017834633
350000,12.765691290604371
650000,13.384729180332174
1250000,14.038654909278163
400000,12.899222326086994
1200000,13.997832948091215
850000,13.652992804936396
640000,13.369225017834633
1400000,14.151983508870947
4500000,15.319588176962746
300000,12.611541086966115
1180000,13.981025843899115
1650000,14.316286451937186
490000,13.102162710901053
550000,13.217675375388819
1800000,14.403297778421795
440000,12.994532278619134
1150000,13.955273369904273
670000,13.415034483903348
360000,12.793862088206213
1700000,14.346139397261565
1690000,14.340239678615058
450000,13.017005083966255
780000,13.567050480716235
610000,13.321215875492413
1245000,14.034646891093473
1300000,14.077875591662238
320000,12.676079399771027
1400000,14.151983508870947
640000,13.369225017834633
9300000,16.04552506565036
280000,12.54254845357358
470000,13.060490101343552
160000,11.982935344196433
870000,13.676249640055394
870000,13.676249640055394
700000,13.45883704259595
460000,13.038983942375959
690000,13.444448325847754
1300000,14.077875591662238
420000,12.948012371209098
1150000,13.955273369904273
570000,13.25339339419516
500000,13.122365377402328
800000,13.592368256649284
410000,12.923914877701906
530000,13.180634172318978
918000,13.729953758926653
320000,12.676079399771027
1070000,13.883170141017091
2200000,14.603968372873895
680000,13.429849547739444
490000,13.102162710901053
1450000,14.187074804051692
1530000,14.240778946963175
660000,13.399996629152975
